2016-04-21 14-42-36,33.72,39.59
2016-04-21 16-33-53;47.21;48.0
2016-04-21 16-34-25;47.12;48.0
2016-04-21 16-34-57;47.17;48.04
2016-04-21 16-35-29;47.02;47.9
2016-04-21 16-36-18;47.12;47.95
2016-04-21 16-36-48;47.8;48.04
2016-04-21 16-37-18;47.85;48.09
2016-04-21 16-37-48;47.85;48.09
2016-04-21 16-38-18;47.85;48.14
2016-04-21 16-38-48;47.8;48.09
2016-04-21 16-39-18;47.8;48.09
2016-04-21 16-39-48;47.8;48.09
2016-04-21 16-40-18;47.85;48.09
2016-04-21 16-40-48;47.85;48.09
2016-04-21 16-41-18;47.8;48.09
2016-04-21 16-41-48;47.8;48.14
2016-04-21 16-42-18;47.8;48.14
2016-04-21 16-42-48;47.85;48.14
2016-04-21 16-43-18;47.8;48.09
2016-04-21 16-43-48;47.8;48.09
2016-04-21 16-44-19;47.85;48.14
2016-04-21 16-44-49;47.85;48.14
2016-04-21 16-45-19;47.8;48.14
2016-04-21 16-45-49;47.8;48.04
2016-04-21 16-46-19;47.8;48.09
2016-04-21 16-46-49;47.85;48.09
2016-04-21 16-47-19;47.85;48.14
2016-04-21 16-47-49;47.8;48.14
2016-04-21 16-48-19;47.8;48.09
2016-04-21 16-48-49;47.8;48.09
2016-04-21 16-49-19;47.85;48.09
2016-04-21 16-49-49;47.85;48.14
2016-04-21 16-50-19;47.8;48.14
2016-04-21 16-50-49;47.8;48.09
2016-04-21 16-51-19;47.8;48.09
2016-04-21 16-51-49;47.85;48.14
2016-04-21 16-52-19;47.85;48.09
2016-04-21 16-52-49;47.85;48.09
2016-04-21 16-53-19;47.8;48.09
2016-04-21 16-53-49;47.8;48.14
2016-04-21 16-54-19;47.85;48.14
2016-04-21 16-54-49;47.85;48.14
2016-04-21 16-55-19;47.8;48.09
2016-04-21 16-55-49;47.8;48.04
2016-04-21 16-56-19;47.85;48.14
2016-04-21 16-56-49;47.85;48.14
2016-04-21 16-57-19;47.85;48.14
2016-04-21 16-57-49;47.8;48.09
2016-04-21 16-58-19;47.75;48.04
2016-04-21 16-58-49;47.8;48.09
2016-04-21 16-59-19;47.9;48.14
2016-04-21 16-59-49;47.85;48.19
2016-04-21 17-00-19;47.8;48.14
2016-04-21 17-00-50;47.75;48.04
2016-04-21 17-01-20;47.8;48.09
2016-04-21 17-01-50;47.85;48.09
2016-04-21 17-02-20;47.85;48.14
2016-04-21 17-02-50;47.85;48.14
2016-04-21 17-03-20;47.75;48.09
2016-04-21 17-03-50;47.75;48.09
2016-04-21 17-04-20;47.85;48.09
2016-04-21 17-04-50;47.85;48.09
2016-04-21 17-05-20;47.85;48.09
2016-04-21 17-05-50;47.8;48.14
2016-04-21 17-06-20;47.75;48.09
2016-04-21 17-06-50;47.8;48.09
2016-04-21 17-07-20;47.8;48.09
2016-04-21 17-07-50;47.85;48.09
2016-04-21 17-08-20;47.85;48.09
2016-04-21 17-08-50;47.8;48.14
2016-04-21 17-09-20;47.8;48.09
2016-04-21 17-09-50;47.8;48.09
2016-04-21 17-10-20;47.8;48.09
2016-04-21 17-10-50;47.85;48.09
2016-04-21 17-11-20;47.9;48.14
2016-04-21 17-11-50;47.85;48.14
2016-04-21 17-12-20;47.75;48.09
2016-04-21 17-12-50;47.8;48.09
2016-04-21 17-13-20;47.8;48.09
2016-04-21 17-13-50;47.85;48.14
2016-04-21 17-14-20;47.85;48.14
2016-04-21 17-14-50;47.85;48.14
2016-04-21 17-15-20;50.0;48.44
2016-04-21 17-15-50;50.0;48.44
2016-04-21 17-16-20;50.0;48.44
2016-04-21 17-16-51;50.0;48.44
2016-04-21 17-17-21;50.0;48.44
2016-04-21 17-17-51;50.0;48.44
2016-04-21 17-18-21;50.0;48.44
2016-04-21 17-18-51;50.0;48.44
2016-04-21 17-19-21;50.0;48.44
2016-04-21 17-19-51;50.0;48.44
2016-04-21 17-20-21;50.0;48.44
2016-04-21 17-20-51;50.0;48.44
2016-04-21 17-21-21;50.0;48.44
2016-04-21 17-21-51;50.0;48.44
2016-04-21 17-22-21;50.0;48.44
2016-04-21 17-22-51;50.0;48.44
2016-04-21 17-23-21;50.0;48.48
2016-04-21 17-23-51;50.0;48.44
2016-04-21 17-24-21;50.0;48.44
2016-04-21 17-24-51;50.0;48.44
2016-04-21 17-25-21;50.0;48.44
2016-04-21 17-25-51;50.0;48.44
2016-04-21 17-26-21;50.0;48.44
2016-04-21 17-26-51;50.0;48.44
2016-04-21 17-27-21;50.0;48.44
2016-04-21 17-27-51;50.0;48.44
2016-04-21 17-28-21;50.0;48.44
2016-04-21 17-28-51;50.0;48.48
2016-04-21 17-29-21;50.0;48.48
2016-04-21 17-29-51;50.0;48.44
2016-04-21 17-30-21;50.0;48.44
2016-04-21 17-30-51;50.0;48.44
2016-04-21 17-31-21;50.0;48.44
2016-04-21 17-31-51;50.0;48.48
2016-04-21 17-32-21;50.0;48.44
2016-04-21 17-32-51;50.0;48.44
2016-04-21 17-33-21;50.0;48.44
2016-04-21 17-33-52;50.0;48.44
2016-04-21 17-34-22;50.0;48.44
2016-04-21 17-34-52;50.0;48.44
2016-04-21 17-35-22;50.0;48.44
2016-04-21 17-35-52;50.0;48.48
2016-04-21 17-36-22;50.0;48.44
2016-04-21 17-36-52;50.0;48.44
2016-04-21 17-37-22;50.0;48.44
2016-04-21 17-37-52;50.0;48.48
2016-04-21 17-38-22;50.0;48.44
2016-04-21 17-38-52;50.0;48.44
2016-04-21 17-39-22;50.0;48.44
2016-04-21 17-39-52;50.0;48.44
2016-04-21 17-40-22;50.0;48.44
2016-04-21 17-40-52;50.0;48.44
2016-04-21 17-41-22;50.0;48.44
2016-04-21 17-41-52;50.0;48.48
2016-04-21 17-42-22;50.0;48.44
2016-04-21 17-42-52;50.0;48.44
2016-04-21 17-43-22;50.0;48.44
2016-04-21 17-43-52;50.0;48.48
2016-04-21 17-44-22;50.0;48.48
2016-04-21 17-44-52;50.0;48.44
2016-04-21 17-45-22;50.0;48.44
2016-04-21 17-45-52;50.0;48.44
2016-04-21 17-46-22;50.0;48.44
2016-04-21 17-46-52;50.0;48.44
2016-04-21 17-47-22;50.0;48.48
2016-04-21 17-47-52;50.0;48.44
2016-04-21 17-48-22;50.0;48.44
2016-04-22 10-30-37;5.77;22.39
2016-04-22 10-31-09;5.82;22.53
2016-04-22 10-31-40;5.96;22.63
2016-04-22 10-32-12;5.91;22.68
2016-04-22 10-32-44;5.87;22.73
2016-04-22 10-33-16;5.82;22.78
2016-04-22 10-33-47;5.87;22.73
2016-04-22 10-34-19;5.91;22.83
2016-04-22 10-34-51;5.91;22.73
2016-04-22 10-35-23;5.87;22.73
2016-04-22 10-35-54;5.82;23.02
2016-04-22 10-36-26;5.87;22.83
2016-04-22 10-36-58;5.82;22.73
2016-04-22 10-37-30;5.82;22.73
